store_name,month,monthly_revenue
"Baldwin Bikes",2016-01,132894.2968
"Baldwin Bikes",2016-02,102201.9071
"Baldwin Bikes",2016-03,110338.7916
"Baldwin Bikes",2016-04,120491.9842
"Baldwin Bikes",2016-05,150679.6523
"Baldwin Bikes",2016-06,139021.3866
"Baldwin Bikes",2016-07,167320.8731
"Baldwin Bikes",2016-08,142994.2888
"Baldwin Bikes",2016-09,164368.6516
"Baldwin Bikes",2016-10,129251.7324
"Baldwin Bikes",2016-11,95705.8019
"Baldwin Bikes",2016-12,135329.5141
"Baldwin Bikes",2017-01,217406.6490
"Baldwin Bikes",2017-02,197814.7258
"Baldwin Bikes",2017-03,219582.6878
"Baldwin Bikes",2017-04,161639.9347
"Baldwin Bikes",2017-05,201407.9959
"Baldwin Bikes",2017-06,250491.8029
"Baldwin Bikes",2017-07,171303.2829
"Baldwin Bikes",2017-08,193430.8581
"Baldwin Bikes",2017-09,203956.7509
"Baldwin Bikes",2017-10,256674.0375
"Baldwin Bikes",2017-11,209155.0894
"Baldwin Bikes",2017-12,196824.5810
"Baldwin Bikes",2018-01,262508.3779
"Baldwin Bikes",2018-02,139945.0584
"Baldwin Bikes",2018-03,282956.9115
"Baldwin Bikes",2018-04,437264.9112
"Baldwin Bikes",2018-06,188.9910
"Baldwin Bikes",2018-08,8377.8147
"Baldwin Bikes",2018-09,8963.9647
"Baldwin Bikes",2018-11,5257.9717
"Rowlett Bikes",2016-01,10491.8209
"Rowlett Bikes",2016-02,18654.9644
"Rowlett Bikes",2016-03,23443.9118
"Rowlett Bikes",2016-04,12421.4269
"Rowlett Bikes",2016-05,26495.1169
"Rowlett Bikes",2016-06,29986.5696
"Rowlett Bikes",2016-07,10977.0501
"Rowlett Bikes",2016-08,37859.4876
"Rowlett Bikes",2016-09,43563.3262
"Rowlett Bikes",2016-10,13650.8501
"Rowlett Bikes",2016-11,30852.2262
"Rowlett Bikes",2016-12,12889.3869
"Rowlett Bikes",2017-01,15272.1796
"Rowlett Bikes",2017-02,56207.0087
"Rowlett Bikes",2017-03,33868.2387
"Rowlett Bikes",2017-04,45043.4036
"Rowlett Bikes",2017-05,14727.5494
"Rowlett Bikes",2017-06,71652.9397
"Rowlett Bikes",2017-07,1618.1535
"Rowlett Bikes",2017-08,52122.1092
"Rowlett Bikes",2017-09,53269.9355
"Rowlett Bikes",2017-10,21395.4101
"Rowlett Bikes",2017-11,18114.9554
"Rowlett Bikes",2017-12,21319.7221
"Rowlett Bikes",2018-01,44939.5435
"Rowlett Bikes",2018-02,21075.3598
"Rowlett Bikes",2018-03,28018.3959
"Rowlett Bikes",2018-04,75609.2705
"Rowlett Bikes",2018-07,9380.9287
"Rowlett Bikes",2018-11,6104.0354
"Rowlett Bikes",2018-12,6516.9667
"Santa Cruz Bikes",2016-01,71760.3064
"Santa Cruz Bikes",2016-02,35255.4513
"Santa Cruz Bikes",2016-03,46817.6251
"Santa Cruz Bikes",2016-04,34230.6401
"Santa Cruz Bikes",2016-05,28095.2399
"Santa Cruz Bikes",2016-06,41554.1683
"Santa Cruz Bikes",2016-07,21258.8857
"Santa Cruz Bikes",2016-08,44803.6003
"Santa Cruz Bikes",2016-09,65159.6319
"Santa Cruz Bikes",2016-10,69175.4980
"Santa Cruz Bikes",2016-11,55771.3843
"Santa Cruz Bikes",2016-12,51611.0782
"Santa Cruz Bikes",2017-01,52937.6554
"Santa Cruz Bikes",2017-02,58902.0125
"Santa Cruz Bikes",2017-03,55460.9753
"Santa Cruz Bikes",2017-04,20607.5748
"Santa Cruz Bikes",2017-05,52097.6926
"Santa Cruz Bikes",2017-06,56720.9109
"Santa Cruz Bikes",2017-07,57073.9615
"Santa Cruz Bikes",2017-08,45000.4881
"Santa Cruz Bikes",2017-09,36178.5697
"Santa Cruz Bikes",2017-10,32258.8614
"Santa Cruz Bikes",2017-11,54307.8571
"Santa Cruz Bikes",2017-12,41361.6818
"Santa Cruz Bikes",2018-01,73982.1779
"Santa Cruz Bikes",2018-02,39637.6433
"Santa Cruz Bikes",2018-03,53015.6861
"Santa Cruz Bikes",2018-04,305047.6787
"Santa Cruz Bikes",2018-07,1956.9715
"Santa Cruz Bikes",2018-10,3781.1284
