store_name,product_name,brand_name,stock_remaining
"Santa Cruz Bikes","Trek Emonda SLR 6 - 2018",Trek,0
"Santa Cruz Bikes","Trek Fuel EX 5 27.5 Plus - 2017",Trek,0
"Santa Cruz Bikes","Trek Farley Alloy Frameset - 2017",Trek,0
"Santa Cruz Bikes","Trek Remedy 29 Carbon Frameset - 2016",Trek,0
"Santa Cruz Bikes","Surly Straggler - 2018",Surly,0
"Santa Cruz Bikes","Surly Pack Rat - 2018",Surly,0
"Santa Cruz Bikes","Surly Ice Cream Truck Frameset - 2016",Surly,0
"Santa Cruz Bikes","Haro Shredder 20 - 2017",Haro,0
"Santa Cruz Bikes","Electra Townie Original 1 - 2018",Electra,0
"Santa Cruz Bikes","Electra Townie Original 3i EQ Ladies' - 2018",Electra,0
"Baldwin Bikes","Trek Domane SL 6 Disc - 2018",Trek,0
"Baldwin Bikes","Trek Domane SLR Frameset - 2018",Trek,0
"Baldwin Bikes","Trek CrossRip 1 - 2018",Trek,0
"Baldwin Bikes","Trek Precaliber 24 (21-Speed) - Girls - 2017",Trek,0
"Baldwin Bikes","Trek Remedy 9.8 - 2017",Trek,0
"Baldwin Bikes","Electra Townie Original 21D - 2018",Electra,0
"Baldwin Bikes","Electra Townie Commute Go! - 2018",Electra,0
"Baldwin Bikes","Electra Townie Commute Go! - 2018",Electra,0
"Baldwin Bikes","Electra Townie Go! 8i - 2017/2018",Electra,0
"Baldwin Bikes","Electra Girl's Hawaii 1 (16-inch) - 2015/2016",Electra,0
"Rowlett Bikes","Trek Domane S 5 Disc - 2017",Trek,0
"Rowlett Bikes","Surly Wednesday Frameset - 2016",Surly,0
"Rowlett Bikes","Electra Townie Original 1 Ladies' - 2018",Electra,0
"Rowlett Bikes","Electra Amsterdam Royal 8i Ladies - 2018",Electra,0
"Rowlett Bikes","Electra Cruiser 1 Ladies' - 2018",Electra,0
"Santa Cruz Bikes","Trek Superfly 20 - 2018",Trek,1
"Santa Cruz Bikes","Trek CrossRip+ - 2018",Trek,1
"Santa Cruz Bikes","Trek Domane SLR 8 Disc - 2018",Trek,1
"Santa Cruz Bikes","Trek Procal AL Frameset - 2018",Trek,1
"Santa Cruz Bikes","Trek Madone 9.2 - 2017",Trek,1
"Santa Cruz Bikes","Trek Emonda S 5 - 2017",Trek,1
"Santa Cruz Bikes","Sun Bicycles Drifter 7 - 2017","Sun Bicycles",1
"Santa Cruz Bikes","Haro SR 1.1 - 2017",Haro,1
"Santa Cruz Bikes","Electra Queen of Hearts 3i - 2018",Electra,1
"Santa Cruz Bikes","Electra Townie Commute Go! - 2018",Electra,1
"Santa Cruz Bikes","Electra Townie Go! 8i Ladies' - 2018",Electra,1
"Santa Cruz Bikes","Electra Amsterdam Original 3i Ladies' - 2017",Electra,1
"Baldwin Bikes","Trek Precaliber 20 6-speed Boy's - 2018",Trek,1
"Baldwin Bikes","Trek Powerfly 5 Women's - 2018",Trek,1
"Baldwin Bikes","Trek Domane AL 2 - 2018",Trek,1
"Baldwin Bikes","Trek Emonda SLR 8 - 2018",Trek,1
"Baldwin Bikes","Trek 820 - 2018",Trek,1
"Baldwin Bikes","Trek Remedy 29 Carbon Frameset - 2016",Trek,1
"Baldwin Bikes","Surly ECR Frameset - 2018",Surly,1
"Baldwin Bikes","Sun Bicycles Streamway 3 - 2017","Sun Bicycles",1
"Baldwin Bikes","Sun Bicycles Biscayne Tandem 7 - 2017","Sun Bicycles",1
"Baldwin Bikes","Sun Bicycles ElectroLite - 2017","Sun Bicycles",1
"Baldwin Bikes","Heller Shagamaw GX1 - 2018",Heller,1
"Baldwin Bikes","Heller Shagamaw Frame - 2016",Heller,1
"Baldwin Bikes","Electra Townie Original 21D Ladies' - 2018",Electra,1
"Baldwin Bikes","Electra Cruiser 1 (24-Inch) - 2016",Electra,1
"Rowlett Bikes","Trek Superfly 24 - 2017/2018",Trek,1
"Rowlett Bikes","Trek Crockett 7 Disc - 2018",Trek,1
"Rowlett Bikes","Trek Domane SLR Disc Frameset - 2018",Trek,1
