"product_id";"product_name";"brand_name";"category_name";"model_year";"store_name";"city";"state";"order_year";"order_month";"yr_month";"units_sold";"gross_revenue";"net_revenue"
191;"Electra Loft Go! 8i - 2018";"Electra";"Electric Bikes";2018;"Baldwin Bikes";"Baldwin";"NY";2018;3;"2018-03";1.0;2799.99;2519.991
191;"Electra Loft Go! 8i - 2018";"Electra";"Electric Bikes";2018;"Santa Cruz Bikes";"Santa Cruz";"CA";2018;4;"2018-04";1.0;2799.99;2519.991
191;"Electra Loft Go! 8i - 2018";"Electra";"Electric Bikes";2018;"Baldwin Bikes";"Baldwin";"NY";2018;9;"2018-09";1.0;2799.99;2603.9907
192;"Electra Townie Go! 8i - 2017/2018";"Electra";"Electric Bikes";2018;"Baldwin Bikes";"Baldwin";"NY";2018;1;"2018-01";1.0;2599.99;2469.9905
198;"Electra Townie Commute Go! - 2018";"Electra";"Electric Bikes";2018;"Baldwin Bikes";"Baldwin";"NY";2018;3;"2018-03";1.0;2999.99;2699.991
198;"Electra Townie Commute Go! - 2018";"Electra";"Electric Bikes";2018;"Santa Cruz Bikes";"Santa Cruz";"CA";2018;4;"2018-04";4.0;11999.96;10649.9645
198;"Electra Townie Commute Go! - 2018";"Electra";"Electric Bikes";2018;"Rowlett Bikes";"Rowlett";"TX";2018;4;"2018-04";1.0;2999.99;2399.992
199;"Electra Townie Commute Go! Ladies' - 2018";"Electra";"Electric Bikes";2018;"Baldwin Bikes";"Baldwin";"NY";2018;1;"2018-01";2.0;5999.98;5399.982
12;"Electra Townie Original 21D - 2016";"Electra";"Cruisers Bicycles";2016;"Baldwin Bikes";"Baldwin";"NY";2016;1;"2016-01";7.0;3849.93;3552.9354
12;"Electra Townie Original 21D - 2016";"Electra";"Cruisers Bicycles";2016;"Santa Cruz Bikes";"Santa Cruz";"CA";2016;1;"2016-01";2.0;1099.98;1022.9814
12;"Electra Townie Original 21D - 2016";"Electra";"Cruisers Bicycles";2016;"Baldwin Bikes";"Baldwin";"NY";2016;2;"2016-02";3.0;1649.97;1528.9722
12;"Electra Townie Original 21D - 2016";"Electra";"Cruisers Bicycles";2016;"Rowlett Bikes";"Rowlett";"TX";2016;2;"2016-02";2.0;1099.98;989.982
