"order_id";"customer_id";"order_date";"order_year";"order_month";"yr_month";"store_name";"city";"state";"product_name";"brand_name";"category_name";"quantity";"list_price";"discount";"discount_pct";"gross_amount";"discount_amount";"net_amount"
1476;35;"2018-03-31";2018;3;"2018-03";"Baldwin Bikes";"Baldwin";"NY";"Electra Loft Go! 8i - 2018";"Electra";"Electric Bikes";1;2799.99;0.1;10.0;2799.99;279.999;2519.991
1585;157;"2018-04-26";2018;4;"2018-04";"Santa Cruz Bikes";"Santa Cruz";"CA";"Electra Loft Go! 8i - 2018";"Electra";"Electric Bikes";1;2799.99;0.1;10.0;2799.99;279.999;2519.991
1611;6;"2018-09-06";2018;9;"2018-09";"Baldwin Bikes";"Baldwin";"NY";"Electra Loft Go! 8i - 2018";"Electra";"Electric Bikes";1;2799.99;0.07;7.0;2799.99;195.9993;2603.9907
1356;1161;"2018-01-19";2018;1;"2018-01";"Baldwin Bikes";"Baldwin";"NY";"Electra Townie Go! 8i - 2017/2018";"Electra";"Electric Bikes";1;2599.99;0.05;5.0;2599.99;129.9995;2469.9905
1434;595;"2018-03-14";2018;3;"2018-03";"Baldwin Bikes";"Baldwin";"NY";"Electra Townie Commute Go! - 2018";"Electra";"Electric Bikes";1;2999.99;0.1;10.0;2999.99;299.999;2699.991
1487;33;"2018-04-03";2018;4;"2018-04";"Santa Cruz Bikes";"Santa Cruz";"CA";"Electra Townie Commute Go! - 2018";"Electra";"Electric Bikes";1;2999.99;0.05;5.0;2999.99;149.9995;2849.9905
1489;194;"2018-04-03";2018;4;"2018-04";"Santa Cruz Bikes";"Santa Cruz";"CA";"Electra Townie Commute Go! - 2018";"Electra";"Electric Bikes";1;2999.99;0.2;20.0;2999.99;599.998;2399.992
1497;31;"2018-04-06";2018;4;"2018-04";"Santa Cruz Bikes";"Santa Cruz";"CA";"Electra Townie Commute Go! - 2018";"Electra";"Electric Bikes";2;2999.99;0.1;10.0;5999.98;599.998;5399.982
1572;14;"2018-04-22";2018;4;"2018-04";"Rowlett Bikes";"Rowlett";"TX";"Electra Townie Commute Go! - 2018";"Electra";"Electric Bikes";1;2999.99;0.2;20.0;2999.99;599.998;2399.992
1356;1161;"2018-01-19";2018;1;"2018-01";"Baldwin Bikes";"Baldwin";"NY";"Electra Townie Commute Go! Ladies' - 2018";"Electra";"Electric Bikes";2;2999.99;0.1;10.0;5999.98;599.998;5399.982
