"store_id";"store_name";"city";"state";"order_year";"order_month";"yr_month";"total_orders";"gross_revenue";"total_discount";"net_revenue"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2016;1;"2016-01";14;80495.49;8735.1836;71760.3064
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2016;2;"2016-02";10;39364.58;4109.1287;35255.4513
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2016;3;"2016-03";10;51404.61;4586.9849;46817.6251
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2016;4;"2016-04";12;37396.62;3165.9799;34230.6401
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2016;5;"2016-05";8;30951.74;2856.5001;28095.2399
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2016;6;"2016-06";8;45534.63;3980.4617;41554.1683
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2016;7;"2016-07";4;23452.84;2193.9543;21258.8857
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2016;8;"2016-08";11;50002.62;5199.0197;44803.6003
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2016;9;"2016-09";15;72394.43;7234.7981;65159.6319
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2016;10;"2016-10";17;77645.33;8469.832;69175.498
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2016;11;"2016-11";11;62988.61;7217.2257;55771.3843
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2016;12;"2016-12";12;57313.57;5702.4918;51611.0782
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2017;1;"2017-01";13;59223.49;6285.8346;52937.6554
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2017;2;"2017-02";10;65420.51;6518.4975;58902.0125
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2017;3;"2017-03";12;62391.44;6930.4647;55460.9753
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2017;4;"2017-04";6;22400.77;1793.1952;20607.5748
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2017;5;"2017-05";14;57107.53;5009.8374;52097.6926
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2017;6;"2017-06";10;63817.56;7096.6491;56720.9109
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2017;7;"2017-07";10;65677.54;8603.5785;57073.9615
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2017;8;"2017-08";13;49955.43;4954.9419;45000.4881
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2017;9;"2017-09";10;40252.56;4073.9903;36178.5697
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2017;10;"2017-10";10;36027.58;3768.7186;32258.8614
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2017;11;"2017-11";9;60110.53;5802.6729;54307.8571
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2017;12;"2017-12";14;47697.4;6335.7182;41361.6818
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2018;1;"2018-01";10;81373.62;7391.4421;73982.1779
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2018;2;"2018-02";8;45939.64;6301.9967;39637.6433
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2018;3;"2018-03";12;60438.62;7422.9339;53015.6861
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2018;4;"2018-04";52;337086.73;32039.0513;305047.6787
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2018;7;"2018-07";2;2059.97;102.9985;1956.9715
1;"Santa Cruz Bikes";"Santa Cruz";"CA";2018;10;"2018-10";1;4219.92;438.7916;3781.1284
2;"Baldwin Bikes";"Baldwin";"NY";2016;1;"2016-01";34;148586.75;15692.4532;132894.2968
2;"Baldwin Bikes";"Baldwin";"NY";2016;2;"2016-02";35;115892.73;13690.8229;102201.9071
2;"Baldwin Bikes";"Baldwin";"NY";2016;3;"2016-03";39;124144.71;13805.9184;110338.7916
2;"Baldwin Bikes";"Baldwin";"NY";2016;4;"2016-04";28;136307.01;15815.0258;120491.9842
2;"Baldwin Bikes";"Baldwin";"NY";2016;5;"2016-05";37;168617.59;17937.9377;150679.6523
2;"Baldwin Bikes";"Baldwin";"NY";2016;6;"2016-06";33;153428.8;14407.4134;139021.3866
2;"Baldwin Bikes";"Baldwin";"NY";2016;7;"2016-07";43;187503.47;20182.5969;167320.8731
2;"Baldwin Bikes";"Baldwin";"NY";2016;8;"2016-08";40;161681.61;18687.3212;142994.2888
2;"Baldwin Bikes";"Baldwin";"NY";2016;9;"2016-09";42;183433.49;19064.8384;164368.6516
2;"Baldwin Bikes";"Baldwin";"NY";2016;10;"2016-10";42;142106.63;12854.8976;129251.7324
2;"Baldwin Bikes";"Baldwin";"NY";2016;11;"2016-11";26;107886.1;12180.2981;95705.8019
2;"Baldwin Bikes";"Baldwin";"NY";2016;12;"2016-12";39;151542.79;16213.2759;135329.5141
2;"Baldwin Bikes";"Baldwin";"NY";2017;1;"2017-01";33;240197.45;22790.801;217406.649
2;"Baldwin Bikes";"Baldwin";"NY";2017;2;"2017-02";36;221884.49;24069.7642;197814.7258
2;"Baldwin Bikes";"Baldwin";"NY";2017;3;"2017-03";45;248342.09;28759.4022;219582.6878
2;"Baldwin Bikes";"Baldwin";"NY";2017;4;"2017-04";44;180667.14;19027.2053;161639.9347
2;"Baldwin Bikes";"Baldwin";"NY";2017;5;"2017-05";39;223827.24;22419.2441;201407.9959
2;"Baldwin Bikes";"Baldwin";"NY";2017;6;"2017-06";41;277159.14;26667.3371;250491.8029
2;"Baldwin Bikes";"Baldwin";"NY";2017;7;"2017-07";40;188310.14;17006.8571;171303.2829
2;"Baldwin Bikes";"Baldwin";"NY";2017;8;"2017-08";43;215114.34;21683.4819;193430.8581
2;"Baldwin Bikes";"Baldwin";"NY";2017;9;"2017-09";38;227518.46;23561.7091;203956.7509
2;"Baldwin Bikes";"Baldwin";"NY";2017;10;"2017-10";50;286168.85;29494.8125;256674.0375
2;"Baldwin Bikes";"Baldwin";"NY";2017;11;"2017-11";44;235921.19;26766.1006;209155.0894
2;"Baldwin Bikes";"Baldwin";"NY";2017;12;"2017-12";29;219355.67;22531.089;196824.581
2;"Baldwin Bikes";"Baldwin";"NY";2018;1;"2018-01";35;296502.38;33994.0021;262508.3779
2;"Baldwin Bikes";"Baldwin";"NY";2018;2;"2018-02";24;155541.95;15596.8916;139945.0584
2;"Baldwin Bikes";"Baldwin";"NY";2018;3;"2018-03";49;314839.95;31883.0385;282956.9115
2;"Baldwin Bikes";"Baldwin";"NY";2018;4;"2018-04";60;487703.22;50438.3088;437264.9112
2;"Baldwin Bikes";"Baldwin";"NY";2018;6;"2018-06";1;209.99;20.999;188.991
2;"Baldwin Bikes";"Baldwin";"NY";2018;8;"2018-08";2;10256.91;1879.0953;8377.8147
2;"Baldwin Bikes";"Baldwin";"NY";2018;9;"2018-09";1;9949.96;985.9953;8963.9647
2;"Baldwin Bikes";"Baldwin";"NY";2018;11;"2018-11";1;5639.97;381.9983;5257.9717
3;"Rowlett Bikes";"Rowlett";"TX";2016;1;"2016-01";2;12101.91;1610.0891;10491.8209
3;"Rowlett Bikes";"Rowlett";"TX";2016;2;"2016-02";4;20510.79;1855.8256;18654.9644
3;"Rowlett Bikes";"Rowlett";"TX";2016;3;"2016-03";6;26607.82;3163.9082;23443.9118
3;"Rowlett Bikes";"Rowlett";"TX";2016;4;"2016-04";3;13519.92;1098.4931;12421.4269
3;"Rowlett Bikes";"Rowlett";"TX";2016;5;"2016-05";6;29131.8;2636.6831;26495.1169
3;"Rowlett Bikes";"Rowlett";"TX";2016;6;"2016-06";4;32156.86;2170.2904;29986.5696
3;"Rowlett Bikes";"Rowlett";"TX";2016;7;"2016-07";3;11897.9;920.8499;10977.0501
3;"Rowlett Bikes";"Rowlett";"TX";2016;8;"2016-08";12;41446.6;3587.1124;37859.4876
3;"Rowlett Bikes";"Rowlett";"TX";2016;9;"2016-09";10;47454.69;3891.3638;43563.3262
3;"Rowlett Bikes";"Rowlett";"TX";2016;10;"2016-10";5;15299.83;1648.9799;13650.8501
3;"Rowlett Bikes";"Rowlett";"TX";2016;11;"2016-11";6;34440.76;3588.5338;30852.2262
3;"Rowlett Bikes";"Rowlett";"TX";2016;12;"2016-12";4;14838.84;1949.4531;12889.3869
3;"Rowlett Bikes";"Rowlett";"TX";2017;1;"2017-01";4;17533.83;2261.6504;15272.1796
3;"Rowlett Bikes";"Rowlett";"TX";2017;2;"2017-02";11;61435.47;5228.4613;56207.0087
3;"Rowlett Bikes";"Rowlett";"TX";2017;3;"2017-03";10;37443.6;3575.3613;33868.2387
3;"Rowlett Bikes";"Rowlett";"TX";2017;4;"2017-04";7;51037.66;5994.2564;45043.4036
3;"Rowlett Bikes";"Rowlett";"TX";2017;5;"2017-05";4;16819.89;2092.3406;14727.5494
